N-t70d11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,6046566,6174178,0.245378,2
N-tiw56r54_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,2292017,2387349,2.68641,3
N-tiw56r54_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,2340698,2387349,3.31392,1
N-t59f11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,3831214,3993006,2.67012,4
N-t59f11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,3878281,3993006,3.31909,2
N-t70n11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,2342218,2444390,2.50039,4
N-t70n11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,2390175,2444390,3.36339,2
N-t70d11xn_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,5578177,5825147,0.192357,4
N-t70d11xn_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,5634038,5825147,0.242311,3
N-t70f11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,4939387,5150097,0.165566,4
N-t70f11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,4963868,5150097,0.18747,3
N-t59d11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,3689787,3841167,2.25078,3
N-t59d11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,3743396,3841167,3.21409,2
N-t75k11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,1482891,1541596,0.260672,3
N-t75k11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,1501746,1541596,0.281518,2
N-be75oi_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,5753871,5910096,3.19903,2
N-be75oi_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,5769295,5910096,4.12456,2
N-t59n11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,306954,318960,0.223022,3
N-t59n11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,313186,318960,0.272224,1
N-t70l11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,1067694,1113128,2.72184,4
N-t70l11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,1087358,1113128,4.84287,2
N-t65b11xx_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,16639505,17273996,2.51587,3
N-t65b11xx_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,16809359,17273996,3.29521,2
N-tiw56n54_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,2020736,2098726,2.7259,3
N-tiw56n54_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,2050888,2098726,2.90523,2
N-be75tot_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,11856450,12287707,0.181772,3
N-be75tot_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,11962627,12287707,0.266156,2
N-t70n11xx_150,vnd_first_cw_TIE,150,vnd,first,TIE,cw,898611,948913,0.218243,5
N-t70n11xx_150,vnd_first_cw_TEI,150,vnd,first,TEI,cw,921738,948913,0.269258,2
N-t70d11xn_250,vnd_first_cw_TIE,250,vnd,first,TIE,cw,14624972,15207063,2.57523,3
N-t70d11xn_250,vnd_first_cw_TEI,250,vnd,first,TEI,cw,14773411,15207063,2.73948,2
